-0.046181,0.77014,1.3896,-0.046181,0.77014,1.3896,-0.046181,0.61945,1.3896,-0.046181,0.61945,1.3896
-0.048908,0.77481,1.3882,-0.048908,0.77481,1.3882,-0.072252,0.64751,1.4084,-0.048908,0.61339,1.3882
-0.05139,0.77939,1.3868,-0.05139,0.77939,1.3868,-0.098232,0.67424,1.4239,-0.05139,0.60739,1.3868
-0.053635,0.78389,1.3853,-0.053635,0.78389,1.3853,-0.12398,0.69937,1.436,-0.053635,0.60142,1.3853
-0.055653,0.78831,1.3838,-0.055653,0.78831,1.3838,-0.14932,0.72265,1.4446,-0.055653,0.59549,1.3838
-0.057453,0.79268,1.3823,-0.057453,0.79268,1.3823,-0.17411,0.74384,1.4495,-0.057453,0.58959,1.3823
-0.059041,0.79699,1.3807,-0.059041,0.79699,1.3807,-0.19818,0.76275,1.4508,-0.059041,0.58372,1.3807
-0.060427,0.80126,1.3791,-0.060427,0.80126,1.3791,-0.22136,0.77922,1.4485,-0.060427,0.57786,1.3791
-0.061617,0.80549,1.3775,-0.061617,0.80549,1.3775,-0.24349,0.79311,1.4428,-0.061617,0.57201,1.3775
-0.062619,0.80968,1.3758,-0.062619,0.80968,1.3758,-0.26443,0.80433,1.4337,-0.062619,0.56617,1.3758
-0.063439,0.81385,1.3742,-0.063439,0.81385,1.3742,-0.28404,0.81285,1.4215,-0.063439,0.56032,1.3742
-0.064082,0.818,1.3725,-0.064082,0.818,1.3725,-0.3022,0.81867,1.4064,-0.064082,0.55446,1.3725
-0.064556,0.82213,1.3707,-0.064556,0.82213,1.3707,-0.31883,0.82182,1.3887,-0.064556,0.54858,1.3707
-0.064865,0.82625,1.3689,-0.064865,0.82625,1.3689,-0.33383,0.82241,1.3687,-0.064865,0.54269,1.3689
-0.065016,0.83036,1.3671,-0.065016,0.83036,1.3671,-0.34716,0.82054,1.3467,-0.065016,0.53676,1.3671
-0.065012,0.83446,1.3653,-0.065012,0.83446,1.3653,-0.35878,0.81637,1.3232,-0.065012,0.5308,1.3653
-0.064858,0.83856,1.3634,-0.064858,0.83856,1.3634,-0.36867,0.81007,1.2984,-0.064858,0.5248,1.3634
-0.064559,0.84265,1.3614,-0.064559,0.84265,1.3614,-0.37684,0.80185,1.2727,-0.064559,0.51875,1.3614
-0.064119,0.84675,1.3594,-0.064119,0.84675,1.3594,-0.3833,0.79192,1.2467,-0.064119,0.51265,1.3594
-0.063542,0.85085,1.3573,-0.063542,0.85085,1.3573,-0.38809,0.78051,1.2206,-0.063542,0.50648,1.3573
-0.062832,0.85495,1.3552,-0.062832,0.85495,1.3552,-0.39124,0.76787,1.1949,-0.062832,0.50026,1.3552
-0.061992,0.85905,1.353,-0.061992,0.85905,1.353,-0.3928,0.75423,1.1701,-0.061992,0.49396,1.353
-0.061026,0.86316,1.3507,-0.061026,0.86316,1.3507,-0.39283,0.73984,1.1466,-0.061026,0.48759,1.3507
-0.059936,0.86727,1.3484,-0.059936,0.86727,1.3484,-0.39139,0.72495,1.1247,-0.059936,0.48113,1.3484
-0.058727,0.87139,1.346,-0.058727,0.87139,1.346,-0.38854,0.70977,1.105,-0.058727,0.47459,1.346
-0.0574,0.87551,1.3435,-0.0574,0.87551,1.3435,-0.3874,0.70703,1.1093,-0.0574,0.46795,1.3435
-0.0574,0.87551,1.3435,-0.0574,0.87551,1.3435,-0.3874,0.70703,1.1093,-0.0574,0.46795,1.3435
-0.056003,0.87963,1.3408,-0.073147,0.85976,1.3767,-0.3862,0.70423,1.1136,-0.056003,0.4612,1.3408
-0.054578,0.88376,1.3381,-0.088966,0.84118,1.4056,-0.38497,0.70133,1.1179,-0.054578,0.45432,1.3381
-0.053117,0.88791,1.3352,-0.10476,0.81996,1.43,-0.38371,0.69832,1.1222,-0.053117,0.44729,1.3352
-0.051613,0.89208,1.3322,-0.12041,0.79635,1.4497,-0.38242,0.69519,1.1264,-0.051613,0.44009,1.3322
-0.050061,0.89627,1.329,-0.1358,0.77066,1.4648,-0.38108,0.69194,1.1307,-0.050061,0.43271,1.329
-0.048453,0.90049,1.3256,-0.15081,0.74326,1.4753,-0.37969,0.68857,1.135,-0.048453,0.42514,1.3256
-0.046782,0.90474,1.3221,-0.16531,0.71456,1.4813,-0.37824,0.68505,1.1393,-0.046782,0.41735,1.3221
-0.04504,0.90902,1.3183,-0.17919,0.68501,1.483,-0.37673,0.68139,1.1436,-0.04504,0.40933,1.3183
-0.04322,0.91333,1.3144,-0.19233,0.65505,1.4806,-0.37516,0.67757,1.1479,-0.04322,0.40106,1.3144
-0.041313,0.91769,1.3102,-0.2046,0.62513,1.4744,-0.3735,0.67358,1.1522,-0.041313,0.39252,1.3102
-0.039311,0.92208,1.3058,-0.2159,0.59568,1.4649,-0.37176,0.66941,1.1566,-0.039311,0.38369,1.3058
-0.037205,0.92651,1.3011,-0.22615,0.56713,1.4524,-0.36993,0.66504,1.161,-0.037205,0.37455,1.3011
-0.034986,0.93097,1.296,-0.23525,0.53986,1.4374,-0.368,0.66047,1.1654,-0.034986,0.36508,1.296
-0.032645,0.93547,1.2907,-0.24315,0.51421,1.4204,-0.36595,0.65567,1.1699,-0.032645,0.35525,1.2907
-0.030171,0.94,1.285,-0.24978,0.49053,1.4018,-0.36379,0.65062,1.1744,-0.030171,0.34503,1.285
-0.027555,0.94455,1.279,-0.25511,0.4691,1.3821,-0.3615,0.64532,1.1789,-0.027555,0.3344,1.279
-0.024784,0.94912,1.2725,-0.25912,0.45019,1.3618,-0.35908,0.63974,1.1834,-0.024784,0.32334,1.2725
