-0.044557,0.77029,1.3898,-0.044557,0.77029,1.3898,-0.044557,0.61951,1.3898,-0.044557,0.61951,1.3898
-0.047184,0.77497,1.3884,-0.047184,0.77497,1.3884,-0.074066,0.64156,1.4072,-0.047184,0.61348,1.3884
-0.049562,0.77954,1.387,-0.049562,0.77954,1.387,-0.10348,0.66218,1.4213,-0.049562,0.60751,1.387
-0.051699,0.78402,1.3856,-0.051699,0.78402,1.3856,-0.13263,0.68115,1.4319,-0.051699,0.60159,1.3856
-0.053604,0.78843,1.3841,-0.053604,0.78843,1.3841,-0.16131,0.69827,1.4388,-0.053604,0.59572,1.3841
-0.055286,0.79277,1.3827,-0.055286,0.79277,1.3827,-0.18933,0.71335,1.442,-0.055286,0.58989,1.3827
-0.056753,0.79705,1.3811,-0.056753,0.79705,1.3811,-0.2165,0.72626,1.4416,-0.056753,0.5841,1.3811
-0.058011,0.80127,1.3796,-0.058011,0.80127,1.3796,-0.24263,0.73686,1.4375,-0.058011,0.57834,1.3796
-0.059068,0.80545,1.378,-0.059068,0.80545,1.378,-0.26753,0.74508,1.4299,-0.059068,0.5726,1.378
-0.059931,0.80958,1.3765,-0.059931,0.80958,1.3765,-0.29104,0.75088,1.419,-0.059931,0.56688,1.3765
-0.060604,0.81368,1.3749,-0.060604,0.81368,1.3749,-0.31302,0.75425,1.4049,-0.060604,0.56117,1.3749
-0.061095,0.81775,1.3732,-0.061095,0.81775,1.3732,-0.33333,0.75522,1.3879,-0.061095,0.55547,1.3732
-0.061408,0.8218,1.3716,-0.061408,0.8218,1.3716,-0.35188,0.75387,1.3682,-0.061408,0.54977,1.3716
-0.061548,0.82582,1.3699,-0.061548,0.82582,1.3699,-0.36859,0.7503,1.3463,-0.061548,0.54407,1.3699
-0.06152,0.82982,1.3682,-0.06152,0.82982,1.3682,-0.38341,0.74465,1.3224,-0.06152,0.53835,1.3682
-0.061329,0.83381,1.3664,-0.061329,0.83381,1.3664,-0.3963,0.73707,1.2969,-0.061329,0.53261,1.3664
-0.060977,0.83779,1.3646,-0.060977,0.83779,1.3646,-0.40726,0.72775,1.2701,-0.060977,0.52686,1.3646
-0.060469,0.84175,1.3628,-0.060469,0.84175,1.3628,-0.4163,0.7169,1.2426,-0.060469,0.52107,1.3628
-0.059807,0.84571,1.361,-0.059807,0.84571,1.361,-0.42344,0.70472,1.2147,-0.059807,0.51525,1.361
-0.058994,0.84966,1.3591,-0.058994,0.84966,1.3591,-0.42871,0.69145,1.1868,-0.058994,0.5094,1.3591
-0.058034,0.85361,1.3571,-0.058034,0.85361,1.3571,-0.43217,0.67733,1.1594,-0.058034,0.5035,1.3571
-0.056928,0.85755,1.3551,-0.056928,0.85755,1.3551,-0.43388,0.6626,1.1329,-0.056928,0.49755,1.3551
-0.055678,0.86148,1.353,-0.055678,0.86148,1.353,-0.43388,0.64752,1.1079,-0.055678,0.49154,1.353
-0.054286,0.86542,1.3509,-0.054286,0.86542,1.3509,-0.43225,0.63233,1.0847,-0.054286,0.48548,1.3509
-0.052753,0.86934,1.3487,-0.052753,0.86934,1.3487,-0.42905,0.61725,1.0639,-0.052753,0.47936,1.3487
-0.05108,0.87327,1.3464,-0.05108,0.87327,1.3464,-0.42767,0.61461,1.0677,-0.05108,0.47316,1.3464
-0.05108,0.87327,1.3464,-0.05108,0.87327,1.3464,-0.42767,0.61461,1.0677,-0.05108,0.47316,1.3464
